,left,pron,right,candidates,selected,input_sentence,predicted_label,true_label,correct
189,"Everyone really loved the oatmeal cookies; only a few people liked the  chocolate chip cookies. Next time, we should make fewer of",them,.,"The oatmeal cookies,The chocolate chip cookies",1,"How does the sentence end?

Everyone really loved the oatmeal cookies; only a few people liked the  chocolate chip cookies. Next time, we should make fewer of

 OPTIONS: 
- The oatmeal cookies .
 - The chocolate chip cookies .
Output: ",The chocolate chip cookies.,the chocolate chip cookies .,True
190,"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply not enough of",them,.,"copies of the newsletter,chairs",0,"How does the sentence end?

We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply not enough of

 OPTIONS: 
- copies of the newsletter .
 - chairs .
Output: ",chairs.,copies of the newsletter .,False
191,"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply too many of",them,.,"copies of the newsletter,chairs",1,"How does the sentence end?

We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply too many of

 OPTIONS: 
- copies of the newsletter .
 - chairs .
Output: ",chairs.,chairs .,True
192,"I stuck a pin through a carrot. When I pulled the pin out,",it,left a hole.,"The pin,The carrot",0,"How does the sentence end?

I stuck a pin through a carrot. When I pulled the pin out,

 OPTIONS: 
- The pin left a hole.
 - The carrot left a hole.
Output: ",The pin left a hole.,the pin left a hole.,True
193,"I stuck a pin through a carrot. When I pulled the pin out,",it,had a hole.,"The pin,The carrot",1,"How does the sentence end?

I stuck a pin through a carrot. When I pulled the pin out,

 OPTIONS: 
- The pin had a hole.
 - The carrot had a hole.
Output: ",The pin had a hole.,the carrot had a hole.,False
194,"I couldn't find a spoon, so I tried using a pen to stir my  coffee. But that turned out to be a bad idea, because",it,got full of coffee.,"The pen,The coffee",0,"How does the sentence end?

I couldn't find a spoon, so I tried using a pen to stir my  coffee. But that turned out to be a bad idea, because

 OPTIONS: 
- The pen got full of coffee.
 - The coffee got full of coffee.
Output: ",The coffee got full of coffee.,the pen got full of coffee.,False
195,"I couldn't find a spoon, so I tried using a pen to stir my  coffee. But that turned out to be a bad idea, because",it,got full of ink.,"The pen,The coffee",1,"How does the sentence end?

I couldn't find a spoon, so I tried using a pen to stir my  coffee. But that turned out to be a bad idea, because

 OPTIONS: 
- The pen got full of ink.
 - The coffee got full of ink.
Output: ",The coffee got full of ink.,the coffee got full of ink.,True
196,Steve follows Fred's example in everything.,He,admires him hugely.,"Steve,Fred",0,"How does the sentence end?

Steve follows Fred's example in everything.

 OPTIONS: 
- Steve admires him hugely.
 - Fred admires him hugely.
Output: ",Steve admires him hugely.,steve admires him hugely.,True
197,Steve follows Fred's example in everything.,He,influences him hugely.,"Steve,Fred",1,"How does the sentence end?

Steve follows Fred's example in everything.

 OPTIONS: 
- Steve influences him hugely.
 - Fred influences him hugely.
Output: ",Fred influences him hugely.,fred influences him hugely.,True
198,The table won't fit through the doorway because,it,is too wide.,"The table,The doorway",0,"How does the sentence end?

The table won't fit through the doorway because

 OPTIONS: 
- The table is too wide.
 - The doorway is too wide.
Output: ",The table is too wide.,the table is too wide.,True
199,The table won't fit through the doorway because,it,is too narrow.,"The table,The doorway",1,"How does the sentence end?

The table won't fit through the doorway because

 OPTIONS: 
- The table is too narrow.
 - The doorway is too narrow.
Output: ",The doorway is too narrow.,the doorway is too narrow.,True
200,Grace was happy to trade me her sweater for my jacket. She thinks,it,looks dowdy on her.,"The sweater,The jacket",0,"How does the sentence end?

Grace was happy to trade me her sweater for my jacket. She thinks

 OPTIONS: 
- The sweater looks dowdy on her.
 - The jacket looks dowdy on her.
Output: ",The sweater looks dowdy on her.,the sweater looks dowdy on her.,True
201,Grace was happy to trade me her sweater for my jacket. She thinks,it,looks great on her.,"The sweater,The jacket",1,"How does the sentence end?

Grace was happy to trade me her sweater for my jacket. She thinks

 OPTIONS: 
- The sweater looks great on her.
 - The jacket looks great on her.
Output: ",The jacket looks great on her.,the jacket looks great on her.,True
202,John hired Bill to take care of,him,.,"John,Bill",0,"How does the sentence end?

John hired Bill to take care of

 OPTIONS: 
- John .
 - Bill .
Output: ",John.,john .,True
203,John hired himself out to Bill to take care of,him,.,"John,Bill",1,"How does the sentence end?

John hired himself out to Bill to take care of

 OPTIONS: 
- John .
 - Bill .
Output: ",John.,bill .,False
204,"John promised Bill to leave, so an hour later",he,left.,"John,Bill",0,"How does the sentence end?

John promised Bill to leave, so an hour later

 OPTIONS: 
- John left.
 - Bill left.
Output: ",Bill left.,john left.,False
205,"John ordered Bill to leave, so an hour later",he,left.,"John,Bill",1,"How does the sentence end?

John ordered Bill to leave, so an hour later

 OPTIONS: 
- John left.
 - Bill left.
Output: ",Bill left.,bill left.,True
206,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties,he,faced in his research.,"Goodman,Xenophanes",0,"How does the sentence end?

Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties

 OPTIONS: 
- Goodman faced in his research.
 - Xenophanes faced in his research.
Output: ",Goodman faced in his research.,goodman faced in his research.,True
207,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties,he,faced in his childhood.,"Goodman,Xenophanes",1,"How does the sentence end?

Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties

 OPTIONS: 
- Goodman faced in his childhood.
 - Xenophanes faced in his childhood.
Output: ",Xenophanes faced in his childhood.,xenophanes faced in his childhood.,True
208,"Emma's mother had died long ago, and",her,education had been managed by an excellent woman as governess.,"Emma,Emma's mother",0,"How does the sentence end?

Emma's mother had died long ago, and

 OPTIONS: 
- Emma education had been managed by an excellent woman as governess.
 - Emma's mother education had been managed by an excellent woman as governess.
Output: ",Emma's education had been managed by an excellent woman as governess.,emma education had been managed by an excellent woman as governess.,False
209,"Emma's mother had died long ago, and",her,place had been taken by an excellent woman as governess.,"Emma,Emma's mother",1,"How does the sentence end?

Emma's mother had died long ago, and

 OPTIONS: 
- Emma place had been taken by an excellent woman as governess.
 - Emma's mother place had been taken by an excellent woman as governess.
Output: ",Emma place had been taken by an excellent woman as governess.,emma's mother place had been taken by an excellent woman as governess.,False
210,Jane knocked on Susan's door but,she,did not get an answer.,"Jane,Susan",0,"How does the sentence end?

Jane knocked on Susan's door but

 OPTIONS: 
- Jane did not get an answer.
 - Susan did not get an answer.
Output: ",Susan did not get an answer.,jane did not get an answer.,False
211,Jane knocked on Susan's door but,she,did not answer.,"Jane,Susan",1,"How does the sentence end?

Jane knocked on Susan's door but

 OPTIONS: 
- Jane did not answer.
 - Susan did not answer.
Output: ",Susan did not answer.,susan did not answer.,True
212,Joe paid the detective after,he,received the final report on the case.,"Joe,the detective",0,"How does the sentence end?

Joe paid the detective after

 OPTIONS: 
- Joe received the final report on the case.
 - the detective received the final report on the case.
Output: ",Joe received the final report on the case.,joe received the final report on the case.,True
213,Joe paid the detective after,he,delivered the final report on the case.,"Joe,the detective",1,"How does the sentence end?

Joe paid the detective after

 OPTIONS: 
- Joe delivered the final report on the case.
 - the detective delivered the final report on the case.
Output: ",the detective delivered the final report on the case.,the detective delivered the final report on the case.,True
214,"Beth didn't get angry with Sally, who had cut her off, because",she,stopped and counted to ten.,"Beth,Sally",0,"How does the sentence end?

Beth didn't get angry with Sally, who had cut her off, because

 OPTIONS: 
- Beth stopped and counted to ten.
 - Sally stopped and counted to ten.
Output: ",Beth stopped and counted to ten.,beth stopped and counted to ten.,True
215,"Beth didn't get angry with Sally, who had cut her off, because",she,stopped and apologized.,"Beth,Sally",1,"How does the sentence end?

Beth didn't get angry with Sally, who had cut her off, because

 OPTIONS: 
- Beth stopped and apologized.
 - Sally stopped and apologized.
Output: ",Beth stopped and apologized.,sally stopped and apologized.,False
216,Jim signaled the barman and gestured toward,his,empty glass,"Jim,The barman",0,"How does the sentence end?

Jim signaled the barman and gestured toward

 OPTIONS: 
- Jim empty glass
 - The barman empty glass
Output: ",The barman empty glass,jim empty glass,False
217,Jim signaled the barman and gestured toward,his,bathroom key.,"Jim,The barman",1,"How does the sentence end?

Jim signaled the barman and gestured toward

 OPTIONS: 
- Jim bathroom key.
 - The barman bathroom key.
Output: ",The barman bathroom key.,the barman bathroom key.,True
218,Dan took the rear seat while Bill claimed the front because,his,Dibs! was slow.,"Dan,Bill",0,"How does the sentence end?

Dan took the rear seat while Bill claimed the front because

 OPTIONS: 
- Dan Dibs! was slow.
 - Bill Dibs! was slow.
Output: ",Bill Dibs! was slow.,dan Dibs! was slow.,False
219,Dan took the rear seat while Bill claimed the front because,his,Dibs! was quicker.,"Dan,Bill",1,"How does the sentence end?

Dan took the rear seat while Bill claimed the front because

 OPTIONS: 
- Dan Dibs! was quicker.
 - Bill Dibs! was quicker.
Output: ",Dan Dibs! was quicker.,bill Dibs! was quicker.,False
220,"Tom said ""Check"" to Ralph as he moved",his,bishop.,"Tom,Ralph",0,"How does the sentence end?

Tom said ""Check"" to Ralph as he moved

 OPTIONS: 
- Tom bishop.
 - Ralph bishop.
Output: ",Tom bishop.,tom bishop.,True
221,"Tom said ""Check"" to Ralph as he took",his,bishop.,"Tom,Ralph",1,"How does the sentence end?

Tom said ""Check"" to Ralph as he took

 OPTIONS: 
- Tom bishop.
 - Ralph bishop.
Output: ",Tom bishop.,ralph bishop.,False
222,"As Andrea in the crop duster passed over Susan,",she,could see the landing strip.,"Andrea,Susan",0,"How does the sentence end?

As Andrea in the crop duster passed over Susan,

 OPTIONS: 
- Andrea could see the landing strip.
 - Susan could see the landing strip.
Output: ",Andrea could see the landing strip.,andrea could see the landing strip.,True
223,"As Andrea in the crop duster passed over Susan,",she,could see the landing gear.,"Andrea,Susan",1,"How does the sentence end?

As Andrea in the crop duster passed over Susan,

 OPTIONS: 
- Andrea could see the landing gear.
 - Susan could see the landing gear.
Output: ",Andrea could see the landing gear.,susan could see the landing gear.,False
224,Tom gave Ralph a lift to school so,he,wouldn't have to drive alone.,"Tom,Ralph",0,"How does the sentence end?

Tom gave Ralph a lift to school so

 OPTIONS: 
- Tom wouldn't have to drive alone.
 - Ralph wouldn't have to drive alone.
Output: ",Ralph wouldn't have to drive alone.,tom wouldn't have to drive alone.,False
225,Tom gave Ralph a lift to school so,he,wouldn't have to walk.,"Tom,Ralph",1,"How does the sentence end?

Tom gave Ralph a lift to school so

 OPTIONS: 
- Tom wouldn't have to walk.
 - Ralph wouldn't have to walk.
Output: ",Ralph wouldn't have to walk.,ralph wouldn't have to walk.,True
226,Bill passed the half-empty plate to John because,he,was full.,"Bill,John",0,"How does the sentence end?

Bill passed the half-empty plate to John because

 OPTIONS: 
- Bill was full.
 - John was full.
Output: ",John was full.,bill was full.,False
227,Bill passed the half-empty plate to John because,he,was hungry.,"Bill,John",1,"How does the sentence end?

Bill passed the half-empty plate to John because

 OPTIONS: 
- Bill was hungry.
 - John was hungry.
Output: ",John was hungry.,john was hungry.,True
228,Bill passed the gameboy to John because,his,turn was over.,"Bill,John",0,"How does the sentence end?

Bill passed the gameboy to John because

 OPTIONS: 
- Bill turn was over.
 - John turn was over.
Output: ",Bill turn was over.,bill turn was over.,True
229,Bill passed the gameboy to John because,his,turn was next.,"Bill,John",1,"How does the sentence end?

Bill passed the gameboy to John because

 OPTIONS: 
- Bill turn was next.
 - John turn was next.
Output: ",John turn was next.,john turn was next.,True
230,The man lifted the boy onto,his,shoulders.,"The man,The boy",0,"How does the sentence end?

The man lifted the boy onto

 OPTIONS: 
- The man shoulders.
 - The boy shoulders.
Output: ",The boy shoulders.,the man shoulders.,False
231,The man lifted the boy onto,his,bunk bed.,"The man,The boy",1,"How does the sentence end?

The man lifted the boy onto

 OPTIONS: 
- The man bunk bed.
 - The boy bunk bed.
Output: ",The boy bunk bed.,the boy bunk bed.,True
232,Stretching,her,"back, the woman smiled at the girl.","The woman,The girl",0,"How does the sentence end?

Stretching

 OPTIONS: 
- The woman back, the woman smiled at the girl.
 - The girl back, the woman smiled at the girl.
Output: ","The girl back, the woman smiled at the girl.","the woman back, the woman smiled at the girl.",False
233,Patting,her,"back, the woman smiled at the girl.","The woman,The girl",1,"How does the sentence end?

Patting

 OPTIONS: 
- The woman back, the woman smiled at the girl.
 - The girl back, the woman smiled at the girl.
Output: ","The girl back, the woman smiled at the girl.","the girl back, the woman smiled at the girl.",True
234,Billy cried because Toby wouldn't accept,his,toy.,"Billy,Toby",0,"How does the sentence end?

Billy cried because Toby wouldn't accept

 OPTIONS: 
- Billy toy.
 - Toby toy.
Output: ",Billy toy.,billy toy.,True
235,Billy cried because Toby wouldn't share,his,toy.,"Billy,Toby",1,"How does the sentence end?

Billy cried because Toby wouldn't share

 OPTIONS: 
- Billy toy.
 - Toby toy.
Output: ",Billy toy.,toby toy.,False
236,"Lily spoke to Donna, breaking",her,silence.,"Lily,Donna",0,"How does the sentence end?

Lily spoke to Donna, breaking

 OPTIONS: 
- Lily silence.
 - Donna silence.
Output: ",Donna silence.,lily silence.,False
237,"Lily spoke to Donna, breaking",her,concentration.,"Lily,Donna",1,"How does the sentence end?

Lily spoke to Donna, breaking

 OPTIONS: 
- Lily concentration.
 - Donna concentration.
Output: ",Lily concentration.,donna concentration.,False
238,"When Tommy dropped his ice cream, Timmy giggled, so father gave",him,a sympathetic look.,"Tommy,Timmy",0,"How does the sentence end?

When Tommy dropped his ice cream, Timmy giggled, so father gave

 OPTIONS: 
- Tommy a sympathetic look.
 - Timmy a sympathetic look.
Output: ",Tommy a sympathetic look.,tommy a sympathetic look.,True
239,"When Tommy dropped his ice cream, Timmy giggled, so father gave",him,a stern look.,"Tommy,Timmy",1,"How does the sentence end?

When Tommy dropped his ice cream, Timmy giggled, so father gave

 OPTIONS: 
- Tommy a stern look.
 - Timmy a stern look.
Output: ",Tommy a stern look.,timmy a stern look.,False
240,"As Ollie carried Tommy up the long winding steps,",his,legs ached.,"Ollie,Tommy",0,"How does the sentence end?

As Ollie carried Tommy up the long winding steps,

 OPTIONS: 
- Ollie legs ached.
 - Tommy legs ached.
Output: ",Tommy legs ached.,ollie legs ached.,False
241,"As Ollie carried Tommy up the long winding steps,",his,legs dangled.,"Ollie,Tommy",1,"How does the sentence end?

As Ollie carried Tommy up the long winding steps,

 OPTIONS: 
- Ollie legs dangled.
 - Tommy legs dangled.
Output: ",Tommy legs dangled.,tommy legs dangled.,True
242,The father carried the sleeping boy in,his,arms,"The father,The boy",0,"How does the sentence end?

The father carried the sleeping boy in

 OPTIONS: 
- The father arms
 - The boy arms
Output: ",The father arms,the father arms,True
243,The father carried the sleeping boy in,his,bassinet.,"The father,The boy",1,"How does the sentence end?

The father carried the sleeping boy in

 OPTIONS: 
- The father bassinet.
 - The boy bassinet.
Output: ",The boy bassinet.,the boy bassinet.,True
244,The woman held the girl against,her,chest,"The woman,The girl",0,"How does the sentence end?

The woman held the girl against

 OPTIONS: 
- The woman chest
 - The girl chest
Output: ",The girl chest,the woman chest,False
245,The woman held the girl against,her,will.,"The woman,The girl",1,"How does the sentence end?

The woman held the girl against

 OPTIONS: 
- The woman will.
 - The girl will.
Output: ",The girl will.,the girl will.,True
246,"Pam's parents came home and found her having sex with her boyfriend, Paul.",They,were furious about it.,"Pam's parents,Pam and Paul",0,"How does the sentence end?

Pam's parents came home and found her having sex with her boyfriend, Paul.

 OPTIONS: 
- Pam's parents were furious about it.
 - Pam and Paul were furious about it.
Output: ",Pam's parents were furious about it.,pam's parents were furious about it.,True
247,"Pam's parents came home and found her having sex with her boyfriend, Paul.",They,were embarrassed about it.,"Pam's parents,Pam and Paul",1,"How does the sentence end?

Pam's parents came home and found her having sex with her boyfriend, Paul.

 OPTIONS: 
- Pam's parents were embarrassed about it.
 - Pam and Paul were embarrassed about it.
Output: ",Pam's parents were embarrassed about it.,pam and paul were embarrassed about it.,False
248,Dr. Adams informed Kate that,she,had retired and presented several options for future treatment.,"Dr. Adams,Kate",0,"How does the sentence end?

Dr. Adams informed Kate that

 OPTIONS: 
- Dr. Adams had retired and presented several options for future treatment.
 - Kate had retired and presented several options for future treatment.
Output: ",Kate had retired and presented several options for future treatment.,dr. adams had retired and presented several options for future treatment.,False
249,Dr. Adams informed Kate that,she,had cancer and presented several options for future treatment.,"Dr. Adams,Kate",1,"How does the sentence end?

Dr. Adams informed Kate that

 OPTIONS: 
- Dr. Adams had cancer and presented several options for future treatment.
 - Kate had cancer and presented several options for future treatment.
Output: ",Kate had cancer and presented several options for future treatment.,kate had cancer and presented several options for future treatment.,True
250,Dan had to stop Bill from toying with the injured bird.,He,is very compassionate.,"Dan,Bill",0,"How does the sentence end?

Dan had to stop Bill from toying with the injured bird.

 OPTIONS: 
- Dan is very compassionate.
 - Bill is very compassionate.
Output: ",Dan is very compassionate.,dan is very compassionate.,True
251,Dan had to stop Bill from toying with the injured bird.,He,is very cruel.,"Dan,Bill",1,"How does the sentence end?

Dan had to stop Bill from toying with the injured bird.

 OPTIONS: 
- Dan is very cruel.
 - Bill is very cruel.
Output: ",Bill is very cruel.,bill is very cruel.,True
252,"George got free tickets to the play, but he gave them to Eric, even though",he,was particularly eager to see it.,"George,Eric",0,"How does the sentence end?

George got free tickets to the play, but he gave them to Eric, even though

 OPTIONS: 
- George was particularly eager to see it.
 - Eric was particularly eager to see it.
Output: ",George was particularly eager to see it.,george was particularly eager to see it.,True
253,"George got free tickets to the play, but he gave them to Eric, because",he,was particularly eager to see it.,"George,Eric",1,"How does the sentence end?

George got free tickets to the play, but he gave them to Eric, because

 OPTIONS: 
- George was particularly eager to see it.
 - Eric was particularly eager to see it.
Output: ",Eric was particularly eager to see it.,eric was particularly eager to see it.,True
254,"George got free tickets to the play, but he gave them to Eric, because",he,was not particularly eager to see it.,"George,Eric",0,"How does the sentence end?

George got free tickets to the play, but he gave them to Eric, because

 OPTIONS: 
- George was not particularly eager to see it.
 - Eric was not particularly eager to see it.
Output: ",George was not particularly eager to see it.,george was not particularly eager to see it.,True
255,Jane gave Joan candy because,she,wasn't hungry.,"Jane,Joan",0,"How does the sentence end?

Jane gave Joan candy because

 OPTIONS: 
- Jane wasn't hungry.
 - Joan wasn't hungry.
Output: ",Joan wasn't hungry.,jane wasn't hungry.,False
256,Jane gave Joan candy because,she,was hungry.,"Jane,Joan",1,"How does the sentence end?

Jane gave Joan candy because

 OPTIONS: 
- Jane was hungry.
 - Joan was hungry.
Output: ",Joan was hungry.,joan was hungry.,True
257,"I tried to paint a picture of an orchard, with lemons in the lemon trees,  but",they,came out looking more like light bulbs.,"lemons,lemon trees",0,"How does the sentence end?

I tried to paint a picture of an orchard, with lemons in the lemon trees,  but

 OPTIONS: 
- lemons came out looking more like light bulbs.
 - lemon trees came out looking more like light bulbs.
Output: ",lemons came out looking more like light bulbs.,lemons came out looking more like light bulbs.,True
258,"I tried to paint a picture of an orchard, with lemons in the lemon trees,  but",they,came out looking more like telephone poles.,"lemons,lemon trees",1,"How does the sentence end?

I tried to paint a picture of an orchard, with lemons in the lemon trees,  but

 OPTIONS: 
- lemons came out looking more like telephone poles.
 - lemon trees came out looking more like telephone poles.
Output: ",lemons came out looking more like telephone poles.,lemon trees came out looking more like telephone poles.,False
259,James asked Robert for a favor but,he,was refused.,"James,Robert",0,"How does the sentence end?

James asked Robert for a favor but

 OPTIONS: 
- James was refused.
 - Robert was refused.
Output: ",Robert was refused.,james was refused.,False
260,James asked Robert for a favor but,he,refused.,"James,Robert",1,"How does the sentence end?

James asked Robert for a favor but

 OPTIONS: 
- James refused.
 - Robert refused.
Output: ",Robert refused.,robert refused.,True
261,Kirilov ceded the presidency to Shatov because,he,was less popular.,"Kirilov,Shatov",0,"How does the sentence end?

Kirilov ceded the presidency to Shatov because

 OPTIONS: 
- Kirilov was less popular.
 - Shatov was less popular.
Output: ",Kirilov was less popular.,kirilov was less popular.,True
262,Kirilov ceded the presidency to Shatov because,he,was more popular.,"Kirilov,Shatov",1,"How does the sentence end?

Kirilov ceded the presidency to Shatov because

 OPTIONS: 
- Kirilov was more popular.
 - Shatov was more popular.
Output: ",Shatov was more popular.,shatov was more popular.,True
263,Emma did not pass the ball to Janie although,she,saw that she was open.,"Emma,Janie",0,"How does the sentence end?

Emma did not pass the ball to Janie although

 OPTIONS: 
- Emma saw that she was open.
 - Janie saw that she was open.
Output: ",Janie saw that she was open.,emma saw that she was open.,False
264,Emma did not pass the ball to Janie although,she,was open.,"Emma,Janie",1,"How does the sentence end?

Emma did not pass the ball to Janie although

 OPTIONS: 
- Emma was open.
 - Janie was open.
Output: ",Janie was open.,janie was open.,True
265,I put the butterfly wing on the table and,it,broke.,"The butterfly wing,The table",0,"How does the sentence end?

I put the butterfly wing on the table and

 OPTIONS: 
- The butterfly wing broke.
 - The table broke.
Output: ",The butterfly wing broke.,the butterfly wing broke.,True
266,I put the heavy book on the table and,it,broke.,"The heavy book,The table",1,"How does the sentence end?

I put the heavy book on the table and

 OPTIONS: 
- The heavy book broke.
 - The table broke.
Output: ",The heavy book broke.,the table broke.,False
267,Madonna fired her trainer because,she,couldn't stand her boyfriend.,"Madonna,The trainer",0,"How does the sentence end?

Madonna fired her trainer because

 OPTIONS: 
- Madonna couldn't stand her boyfriend.
 - The trainer couldn't stand her boyfriend.
Output: ",Madonna couldn't stand her boyfriend.,madonna couldn't stand her boyfriend.,True
268,Madonna fired her trainer because,she,slept with her boyfriend.,"Madonna,The trainer",1,"How does the sentence end?

Madonna fired her trainer because

 OPTIONS: 
- Madonna slept with her boyfriend.
 - The trainer slept with her boyfriend.
Output: ",Madonna slept with her boyfriend.,the trainer slept with her boyfriend.,False
269,Madonna fired her trainer because she slept with,her,boyfriend.,"Madonna,The trainer",0,"How does the sentence end?

Madonna fired her trainer because she slept with

 OPTIONS: 
- Madonna boyfriend.
 - The trainer boyfriend.
Output: ",The trainer boyfriend.,madonna boyfriend.,False
270,Madonna fired her trainer because she couldn't stand,her,boyfriend.,"Madonna,The trainer",1,"How does the sentence end?

Madonna fired her trainer because she couldn't stand

 OPTIONS: 
- Madonna boyfriend.
 - The trainer boyfriend.
Output: ",The trainer boyfriend.,the trainer boyfriend.,True
271,Carol believed that Rebecca suspected that,she,had stolen the watch.,"Carol,Rebecca",0,"How does the sentence end?

Carol believed that Rebecca suspected that

 OPTIONS: 
- Carol had stolen the watch.
 - Rebecca had stolen the watch.
Output: ",Rebecca had stolen the watch.,carol had stolen the watch.,False
272,Carol believed that Rebecca regretted that,she,had stolen the watch.,"Carol,Rebecca",1,"How does the sentence end?

Carol believed that Rebecca regretted that

 OPTIONS: 
- Carol had stolen the watch.
 - Rebecca had stolen the watch.
Output: ",Rebecca had stolen the watch.,rebecca had stolen the watch.,True
273,This book introduced Shakespeare to Ovid; it was a major influence on,his,writing.,"Shakespeare,Ovid",0,"How does the sentence end?

This book introduced Shakespeare to Ovid; it was a major influence on

 OPTIONS: 
- Shakespeare writing.
 - Ovid writing.
Output: ",Shakespeare writing.,shakespeare writing.,True
274,This book introduced Shakespeare to Goethe; it was a major influence on,his,writing.,"Shakespeare,Goethe",1,"How does the sentence end?

This book introduced Shakespeare to Goethe; it was a major influence on

 OPTIONS: 
- Shakespeare writing.
 - Goethe writing.
Output: ",Shakespeare writing.,goethe writing.,False
275,This book introduced Shakespeare to Ovid; it was a fine selection of,his,writing.,"Shakespeare,Ovid",1,"How does the sentence end?

This book introduced Shakespeare to Ovid; it was a fine selection of

 OPTIONS: 
- Shakespeare writing.
 - Ovid writing.
Output: ",Shakespeare writing.,ovid writing.,False
276,This book introduced Shakespeare to Goethe; it was a fine selection of,his,writing.,"Shakespeare,Goethe",0,"How does the sentence end?

This book introduced Shakespeare to Goethe; it was a fine selection of

 OPTIONS: 
- Shakespeare writing.
 - Goethe writing.
Output: ",Shakespeare writing.,shakespeare writing.,True
277,Alice looked for her friend Jade in the crowd. Since,she,"always has good luck, Alice spotted her quickly.","Alice,Jade",0,"How does the sentence end?

Alice looked for her friend Jade in the crowd. Since

 OPTIONS: 
- Alice always has good luck, Alice spotted her quickly.
 - Jade always has good luck, Alice spotted her quickly.
Output: ","Jade always has good luck, Alice spotted her quickly.","alice always has good luck, Alice spotted her quickly.",False
278,Alice looked for her friend Jade in the crowd. Since,she,"always wears a red turban, Alice spotted her quickly.","Alice,Jade",1,"How does the sentence end?

Alice looked for her friend Jade in the crowd. Since

 OPTIONS: 
- Alice always wears a red turban, Alice spotted her quickly.
 - Jade always wears a red turban, Alice spotted her quickly.
Output: ","Jade always wears a red turban, Alice spotted her quickly.","jade always wears a red turban, Alice spotted her quickly.",True
279,"During a game of tag, Ethan chased Luke because",he,"was ""it"".","Ethan,Luke",0,"How does the sentence end?

During a game of tag, Ethan chased Luke because

 OPTIONS: 
- Ethan was ""it"".
 - Luke was ""it"".
Output: ","Ethan was ""it"".","ethan was ""it"".",True
280,"During a game of tag, Ethan ran from Luke because",he,"was ""it"".","Ethan,Luke",1,"How does the sentence end?

During a game of tag, Ethan ran from Luke because

 OPTIONS: 
- Ethan was ""it"".
 - Luke was ""it"".
Output: ","Ethan was ""it"".","luke was ""it"".",False
281,At the Loebner competition the judges couldn't figure out which respondents were the chatbots because,they,were so stupid.,"the judges,the chatbots",0,"How does the sentence end?

At the Loebner competition the judges couldn't figure out which respondents were the chatbots because

 OPTIONS: 
- the judges were so stupid.
 - the chatbots were so stupid.
Output: ",the judges were so stupid.,the judges were so stupid.,True
282,At the Loebner competition the judges couldn't figure out which respondents were the chatbots because,they,were so advanced.,"the judges,the chatbots",1,"How does the sentence end?

At the Loebner competition the judges couldn't figure out which respondents were the chatbots because

 OPTIONS: 
- the judges were so advanced.
 - the chatbots were so advanced.
Output: ",the chatbots were so advanced.,the chatbots were so advanced.,True
283,"The user changed his password from ""GrWQWu8JyC"" to ""willow-towered Canopy Huntertropic wrestles"" as",it,was easy to forget.,"GrWQWu8JyC,willow-towered Canopy Huntertropic wrestles",0,"How does the sentence end?

The user changed his password from ""GrWQWu8JyC"" to ""willow-towered Canopy Huntertropic wrestles"" as

 OPTIONS: 
- GrWQWu8JyC was easy to forget.
 - willow-towered Canopy Huntertropic wrestles was easy to forget.
Output: ",GrWQWu8JyC was easy to forget.,grwqwu8jyc was easy to forget.,True
284,"The user changed his password from ""GrWQWu8JyC"" to ""willow-towered Canopy Huntertropic wrestles"" as",it,was easy to remember.,"GrWQWu8JyC,willow-towered Canopy Huntertropic wrestles",1,"How does the sentence end?

The user changed his password from ""GrWQWu8JyC"" to ""willow-towered Canopy Huntertropic wrestles"" as

 OPTIONS: 
- GrWQWu8JyC was easy to remember.
 - willow-towered Canopy Huntertropic wrestles was easy to remember.
Output: ",willow-towered Canopy Huntertropic wrestles was easy to remember.,willow-towered canopy huntertropic wrestles was easy to remember.,True
